,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,79,35,0.386,0.095,23.701,0.199,9.56,23.701,364,1206,1.7506849315068493,1,5.563
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,66,37,0.282,0.128,17.877,0.126,7.201,17.877,183,806,1.5006906077348066,6,4.733
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,73,33,0.377,0.1,20.023,0.197,8.088,20.023,340,1059,1.7317073170731707,3,5.364
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,73,25,0.49,0.1,17.25,0.139,6.956,17.25,231,977,1.5326086956521738,17,4.786
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,61,27,0.386,0.086,21.887,0.157,8.818,21.887,275,1021,1.6162193032552827,18,5.022
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,57,26,0.373,0.111,20.292,0.144,8.174,20.292,190,745,1.5746777862016679,21,4.955
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,28,12,0.4,0.092,16.196,0.153,6.54,16.196,114,437,1.6,7,5.034
7,44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,43,14,0.509,0.13,20.162,0.114,8.11,20.162,85,438,1.482573726541555,2,4.735
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,79,42,0.306,0.095,26.854,0.148,10.801,26.854,326,1268,1.5803814713896458,11,4.818
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,59,66,-0.056,0.101,19.467,0.148,7.846,19.467,302,1232,1.5870841487279843,1,4.977
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,45,20,0.385,0.088,20.525,0.194,8.288,20.525,235,741,1.7258464079273328,10,5.467
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,38,24,0.226,0.078,14.952,0.155,6.043,14.952,192,790,1.5922643029814665,6,4.937
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,74,24,0.51,0.105,27.156,0.131,10.915,27.156,227,933,1.546029919447641,33,4.759
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,76,23,0.535,0.1,20.0,0.168,8.067,20.0,279,988,1.6234939759036144,11,5.024
15,52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,28,0,1.0,0.085,22.652,0.179,9.132,22.652,93,328,1.6775431861804222,0,5.328
16,53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,105,39,0.458,0.155,183.5,0.125,73.45,183.5,229,929,1.5029972752043597,15,4.699
17,54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,33,0,1.0,0.056,17.393,0.183,7.03,17.393,178,588,1.6344969199178645,0,5.119
18,55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,16,6,0.455,0.05,17.78,0.237,7.207,17.78,173,443,1.7654320987654322,1,5.439
19,56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,5,4,0.111,0.043,25.538,0.196,10.294,25.538,65,208,1.6987951807228916,2,5.277
20,57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
21,58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,36,67,-0.301,0.126,24.821,0.153,9.99,24.821,213,820,1.5892086330935251,2,5.053
22,59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,21,14,0.2,0.081,24.433,0.158,9.836,24.433,116,433,1.5620736698499318,3,4.896
23,60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,72,42,0.263,0.105,17.509,0.155,7.066,17.509,303,1087,1.5578786333503314,10,4.828
24,61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,53,3,0.893,0.135,15.178,0.151,6.132,15.178,103,416,1.603221083455344,4,5.095
25,62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,7,2,0.556,0.036,22.056,0.103,8.864,22.056,41,249,1.4811083123425692,0,4.872
26,63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,28,9,0.514,0.052,23.14,0.126,9.306,23.14,146,716,1.5246326707000863,4,4.762
27,64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,26,8,0.529,0.084,26.5,0.2,10.68,26.5,127,407,1.7075471698113207,1,5.318
28,65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,20,9,0.379,0.134,13.69,0.126,5.526,13.69,50,216,1.5365239294710327,0,5.131
